Pattern,Train_count
000110101100011000001111000110010111110011000001,2
000100101100010100001111000110000111110011000001,2
111001011101010101000101100100000000011100100011,2
011000101010010000100101100100000010010100100111,2
010111001100111101000100000110000001111111000001,2
111001001111110000100101100100000000010100100111,2
010111111100011101000100000110000001111111000001,2
001000100011100000111111100100000110110000101101,2
111001011100110100000101100100000000011100000111,2
010100111100011101000100000110000001111111000011,2
000110101100011000001111000100000111110011001001,2
011111011100010101000100000110000001111111000011,2
000110101100000000001111000100010111110001001001,2
111001001111010000100101100100000000010100100111,2
011011011110010100100101000110000011111111000111,2
001011000111100000111101000100000000110111000101,2
111011001111010000100101100100000000010100100111,2
010101011111011101100101000110000011111111000111,2
011000101011000000111111100100000010010100100101,2
111001011110110100100101100100000000010100100111,2
011000100010100000110111100100000010010000001101,2
011000100010100000100111100100000010010000001101,2
110011111111001000111111100100010110110100000111,2
000110101100100000001111000110010111110011001001,2
001010100011100000111111100100000110110100000101,2
111001001110110100100101000100000010010100000111,2
011011011110010100100101000110010011111111000111,2
011011011110010100100101000110000001111111000111,2
111001011110011100100101000110000011111100000111,2
001000100011100000100111100100000010010000100101,2
001010000111000011100101100100000000010100100111,2
001000100011100000111111100100010110110000100101,2
000110101100010101001111000110000111111011000001,2
010001011110010100100101000100010011110100000111,2
001000100011100000111111100100010110110000101101,2
111001001111110100100101000100000010010100100111,2
111001011111010100000101100100000000010100100111,2
011110101100100000101101000110010001111011000101,2
001000100011100000110111100100000010010000001101,2
011111001100010101000100000110000001111111000011,2
111011001111110000100101000100000010010100100111,2
011111001100010101000100000110000001111111000001,2
011111001100110100000100000110000001111111000001,2
111000101011001000111111100100000110110100000101,2
000110101100110000001111000110000111110011000001,2
001000100011100000110111100100000010110000000101,2
111001111010110100100101001100000010010100100111,2
001000100011100000111111100100010010110000001101,2
000111001101010101000100000110000001111111000011,2
001111011100010101000100000110000001111111000011,2
000110101101011000001111000100000111110011000001,2
011011001111100000100101100100000000010100000111,2
111011111111000000100111100100010110110100000111,2
000110101101011000001111000110000111110011000001,2
000110101100010000001111000110000111110011001001,2
011011011111100000100101100100000010010000000111,1
011011010111100000100101100100000010010100000111,1
