alpha,mean_training_mse,mean_validation_rmse,mean_validation_mse
0.0004242556430717777,0.20137268100385444,2.2052694046622223,7.447907990436642
0.00043016357581067953,0.20137296598933957,2.20523060636522,7.447604124317694
0.0004361537789208006,0.20137326054516178,2.205185289814181,7.447242595614898
0.00044222739805058973,0.20137355239561935,2.205145324380546,7.44693022969537
0.00044838559480211905,0.2013738610410139,2.2051051040023504,7.4466138876143075
0.00045462954695323993,0.2013741763912406,2.2050616672157304,7.446275050635715
0.0004609604486828434,0.2013745018844944,2.2050204584034705,7.44595009041708
0.00046737951079924635,0.20137482687284672,2.204978394962285,7.445620355796062
0.0004738879609717651,0.20137516995081411,2.2049361818733995,7.4452865534465165
0.0004804870439655134,0.2013755182024375,2.2048863288451876,7.444890385862806
0.0004871780218794631,0.20137588530225053,2.2048426998595607,7.44454710166076
0.0004939621743878321,0.20137625038542845,2.2047965283169946,7.444192761971178
0.0005008407989848212,0.2013766381784587,2.2047517777598786,7.443840080365362
0.0005078152112327671,0.2013770350977095,2.2047032532959343,7.44346211882399
0.0005148867450137498,0.2013774337384159,2.204656839965655,7.443099236949647
0.0005220567527846976,0.20137785070876416,2.2046073359238205,7.442729213500503
0.0005293266058360561,0.2013782793404245,2.2045538623182668,7.442296722744935
0.0005366976945540476,0.2013787056728093,2.204506058403149,7.44191930994482
0.0005441714286865887,0.20137915654447386,2.2044582571534965,7.44153743174318
0.0005517492376129129,0.20137960764365656,2.204409159051406,7.441149631269534
0.0005594325706169377,0.2013800827624741,2.20436022695169,7.440757419465048
0.0005672228971644543,0.20138058218735141,2.2043077292492583,7.440337706712947
0.0005751217071841613,0.2013810680126759,2.204255062478117,7.439927336390122
0.0005831305113526219,0.2013815853829269,2.2041971363493698,7.439454735993058
0.0005912508413831881,0.20138210037572835,2.2041449070150554,7.439040016029618
0.0005994842503189409,0.20138264184217278,2.2040931320066077,7.438620876682248
0.0006078323128297229,0.2013831964831292,2.204040881106276,7.43819625304433
0.0006162966255132943,0.20138376363365368,2.2039882023523716,7.437766129803646
0.0006248788072006888,0.2013843312914399,2.2039335754911824,7.437328808016813
0.0006335804992658254,0.20138494512723887,2.2038686565340844,7.436794225304209
0.0006424033659394191,0.20138554325367877,2.203812693376586,7.436345070735529
0.0006513490946272803,0.20138616954024116,2.203757744687575,7.435891688049091
0.0006604193962330305,0.20138679940350493,2.20370041883458,7.435430368488663
0.0006696160054853216,0.20138746944838162,2.2036414660840262,7.434956474002813
0.0006789406812696112,0.20138815062112858,2.2035816908777726,7.434481534857471
